abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Patient Education;Specialty Care,Ambulatory;Home;Outpatient Clinic;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Seattle,Non-rural,,,"$298,834",Washington,University of Washington,"Sheehan, Florence",https://healthit.ahrq.gov/ahrq-funded-projects/patient-self-monitoring-transfer-physical-therapy-exercise-clinic-home,Closed,Adults,Consumer Informatics;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Home/Remote Monitoring;Telehealth Technology,Patient Self Monitoring to Transfer Physical Therapy Exercise from Clinic to Home (Washington)
,Specialty Care,Ambulatory;Home;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Cincinnati,Non-rural;Rural,,,"$299,043",Ohio,University of Cincinnati,"Kelchner, Lisa",https://healthit.ahrq.gov/ahrq-funded-projects/access-pediatric-voice-therapy-telehealth-solution,Closed,Children with Special Health Care Needs (CSHCN);Pediatric,Telehealth Technology,Access to Pediatric Voice Therapy: A Telehealth Solution (Ohio)
,Primary Care,Academic Medical Center;Ambulatory;Family Medicine;Internal Medicine;Outpatient Clinic;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),San Francisco,Non-rural,,,"$296,716",California,"University of California, San Francisco","Sarkar, Urmimala",https://healthit.ahrq.gov/ahrq-funded-projects/measuring-and-improving-ambulatory-patient-safety-electronic-dashboard,Ongoing,Cancer;Congestive Heart Failure (CHF);Low Literacy;Medicaid;Medicare;Racial/Ethnic Minorities;Safety Net;Uninsured,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Measuring and Improving Ambulatory Patient Safety with an Electronic Dashboard (California)
,Patient Education,Ambulatory;Outpatient Clinic;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),New York,Rural,,,"$314,650",New York,"The Graduate Center, CUNY","Joshi, Ashish",https://healthit.ahrq.gov/ahrq-funded-projects/feasibility-touch-screen-computer-based-breastfeeding-educational-support,Ongoing,Racial/Ethnic Minorities;Racial/Ethnic Minorities: Hispanic Latino;Rural Health,Kiosks;Media Based Technologies,Feasibility of a Touch Screen Computer Based Breastfeeding Educational Support (New York)
,Chronic Disease Management;Medication Management,Home,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Minneapolis,Non-rural;Rural,,,"$298,577",Minnesota,"University of Minnesota, Twin Cities","Lakshminarayan, Kamakshi",https://healthit.ahrq.gov/ahrq-funded-projects/promoting-self-management-stroke-survivors-using-health-it,Ongoing,Adults;Chronic Care;Hypertension;Stroke,Home/Remote Monitoring;Internet,Promoting Self-Management in Stroke Survivors Using Health Information Technology (Minnesota)
,Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Internal Medicine;Primary Care;Specialty Practice,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Santa Monica,,,,"$290,456",California,RAND Corporation,"Miller, Amalia",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-ambulatory-care-settings-effects-quality-and-disparities,Ongoing,Racial/Ethnic Minorities;Racial/Ethnic Minorities: African American;Racial/Ethnic Minorities: Hispanic Latino,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Health Information Technology in Ambulatory Care Settings: Effects on Quality and Disparities (California)
,Acute Care,Emergency Department (ED)/Emergency Room (ER),Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Houston,Non-rural,,,"$1,942,133",Texas,University of Texas Health Science Center - Houston,"Franklin, Amy",https://healthit.ahrq.gov/ahrq-funded-projects/opportunistic-decision-making-information-needs-and-workflow-emergency-care,Ongoing,General,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Radio Frequency Identification Device,Opportunistic Decision Making Information Needs and Workflow in Emergency Care (Texas)
,Acute Care;Care Coordination;Chronic Disease Management;Improving Care Across Transitions of Care;Specialty Care,Academic Medical Center;Ambulatory;Inpatient;Specialty Practice;Veteran Affairs Medical Center,Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Seattle,,,,"$1,794,553",Washington,University of Washington,"Butler, Keith",https://healthit.ahrq.gov/ahrq-funded-projects/modeling-and-analysis-clinical-care-health-information-technology-improvement,Ongoing,Chronic Care;Other Conditions: Multiple Sclerosis;Veterans,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Modeling and Analysis of Clinical Care for Health Information Technology Improvement (Washington)
,Protected Health Information Data Sharing,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient,AHRQ Grant Program for Large Conference Support (R13) and (U13),Bethesda,Non-rural;Rural,,,"$230,014",Maryland,American Medical Informatics Association,"Kuperman, Gilad",https://healthit.ahrq.gov/ahrq-funded-projects/amia-health-policy-conference-series,Ongoing,General,Data Mining Software;Electronic Medical Record (EMR)/Electronic Health Record (EHR),AMIA Health Policy Conference Series (Maryland)
,Chronic Disease Management,Academic Medical Center;Ambulatory;Family Medicine;Internal Medicine;Primary Care,AHRQ Health Services Research Demonstration and Dissemination Grants (R18),Pittsburgh,Non-rural,,,"$2,366,675",Pennsylvania,University of Pittsburgh at Pittsburgh,"Conroy, Margaret",https://healthit.ahrq.gov/ahrq-funded-projects/maintaining-activity-and-nutrition-through-technology-assisted-innovation,Ongoing,Chronic Care;Low-SES/Low Income;Obesity;Racial/Ethnic Minorities: African American;Women,Internet,Maintaining Activity and Nutrition through Technology-Assisted Innovation in Primary Care (Pennsylvania)
,Chronic Disease Management,Academic Medical Center;Ambulatory;Federally Qualified Health Center (FQHC),Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Ann Arbor,Non-rural,,,"$296,716",Michigan,Regents of the University of Michigan,"Baptist, Alan",https://healthit.ahrq.gov/ahrq-funded-projects/interactive-health-communication-program-young-urban-adults-asthma,Closed,Acute Respiratory Infections;Adults;Asthma;Chronic Care;Inner City;Racial/Ethnic Minorities: African American;Uninsured,Internet,An Interactive Health Communication Program For Young Urban Adults With Asthma (Michigan)
,Primary Care,Ambulatory;Outpatient Clinic,AHRQ Health Services Research Projects (R01),Indianapolis,Non-rural,,,"$474,982",Indiana,Indiana University,"Gilbert, Amy",https://healthit.ahrq.gov/ahrq-funded-projects/computer-supported-management-medical-legal-issues-impacting-child-health,Ongoing,Low-SES/Low Income;Medicaid;Pediatric,Clinical Decision Support (CDS) System,Computer-Supported Management of Medical-Legal Issues Impacting Child Health  (Indiana)
,Care Coordination,Inpatient,AHRQ Grants for Health Services Research Dissertation (R36),Salt Lake City,Non-rural,,,"$41,061",Utah,University of Utah,"Blaz, Jaquelyn",https://healthit.ahrq.gov/ahrq-funded-projects/exploring-creation-nurses-information-documentation-and-use-clinic-work,Ongoing,Adults;Men;Women,Clinical Decision Support (CDS) System,Exploring the Creation of Nurses Information Documentation and Use in Clinic Work (Utah)
,Medication Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,AHRQ Grants for Health Services Research Dissertation (R36),Ann Arbor,Non-rural,,,"$37,014",Michigan,Regents of the University of Michigan,"Gatwood, Justin",https://healthit.ahrq.gov/ahrq-funded-projects/targeting-medication-nonadherence-using-mobile-phone-based-tailored-messaging,Ongoing,Chronic Care;Diabetes,Short Message System (SMS),  Targeting Medication Nonadherence Using Mobile Phone Based Tailored Messaging (Michigan)
,Care Planning,Ambulatory,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),New Haven,Non-rural,,,"$292,584",Connecticut,Yale University,"Shorten, Allison",https://healthit.ahrq.gov/ahrq-funded-projects/using-interactive-health-information-technology-support-womens-choices-birth,Ongoing,Women: Pregnancy,Clinical Decision Support (CDS) System,Using Interactive Health Information Technology to Support Women’s Choices for Birth After Cesarean (Connecticut)
,Care Coordination,Emergency Department (ED)/Emergency Room (ER),Mentored Clinical Scientist Research Career Development Award (K08),New Haven,Non-rural,,,"$776,293",Connecticut,Yale University,"Melnick, Edward",https://healthit.ahrq.gov/ahrq-funded-projects/clinical-decision-support-mild-traumatic-brain-injury,Ongoing,Inner City;Low-SES/Low Income,Clinical Decision Support (CDS) System,Clinical Decision Support for Mild Traumatic Brain Injury (Connecticut)
,Care Coordination,Long-Term Care,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Boston,Non-rural,,,"$2,407,309",Massachusetts,Beth Israel Deaconess Medical Center,"Safran, Charles",https://healthit.ahrq.gov/ahrq-funded-projects/infosage-information-sharing-across-generation-and-environments,Ongoing,Adults;Elderly,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Personal Health Record (PHR),InfoSage Information Sharing Across Generation and Environments (Massachusetts)
,Protected Health Information Data Sharing,Ambulatory;Family Medicine;Internal Medicine;Primary Care;Specialty Practice,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Schenectady,Non-rural,,,"$97,592",New York,Union College,"Stablein, Timothy",https://healthit.ahrq.gov/ahrq-funded-projects/role-privacy-practice-electronic-health-records-pediatrician-interactions,Ongoing,Pediatric;Teenagers,Electronic Medical Record (EMR)/Electronic Health Record (EHR),The Role of Privacy in Practice: Electronic Health Records in Pediatrician Interactions with Patients (New York)
,Primary Care,Ambulatory;Inpatient,Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Minneapolis,Non-rural;Rural,,,"$1,937,296",Minnesota,"University of Minnesota, Twin Cities","Melton-Meaux, Genevieve",https://healthit.ahrq.gov/ahrq-funded-projects/discovery-and-visualization-new-information-clinical-reports-electronic-health,Ongoing,Adults,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Discovery and Visualization of New Information from Clinical Reports in the Electronic Health Record (Minnesota)
,Chronic Disease Management;Primary Care,Academic Medical Center;Ambulatory;Community Health Center,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Winston-Salem,Non-rural;Rural,,,"$2,320,318",North Carolina,Wake Forest University Health Sciences,"Arcury, Thomas",https://healthit.ahrq.gov/ahrq-funded-projects/maximizing-impact-ephim-low-income-multiethnic-populations,Ongoing,Acute Respiratory Infections;Adults;Chronic Care;Diabetes;Elderly;Hyperlipidemia (HL);Hypertension;Low-SES/Low Income;Medicaid;Medicare;Racial/Ethnic Minorities: African American;Racial/Ethnic Minorities: American Indian;Racial/Ethnic Minorities: Hispanic Latino,Consumer Informatics,"Maximizing the Impact of ePHIM in Low-Income, Multiethnic Populations (North Carolina)"
,Care Coordination,Home,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Baltimore,Non-rural;Rural,,,"$96,048",Maryland,University of Maryland,"Koru, Gunes",https://healthit.ahrq.gov/ahrq-funded-projects/towards-effective-and-efficient-adoption-health-information-technology-home,Ongoing,General,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),Towards Effective and Efficient Adoption of Health Information Technology in Home Health Care (Maryland)
,Primary Care;Specialty Care,Ambulatory;Outpatient Clinic,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Aurora,Non-rural;Rural,,,"$299,998",Colorado,"University of Colorado, Denver","Anderson, Heather",https://healthit.ahrq.gov/ahrq-funded-projects/integrating-patient-reported-outcomes-and-electronic-health-record-data-improve,Ongoing,Mental Health/Depression,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Integrating Patient-Reported Outcomes and Electronic Health Record Data to Improve Clinical Decision Support for Depression Treatment (Colorado)
,Medication Management;Specialty Care,Academic Medical Center;Ambulatory;Inpatient;Outpatient Clinic,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),New York,Non-rural,,,"$1,997,612",New York,Columbia University,"Vawdrey, David Kent",https://healthit.ahrq.gov/ahrq-funded-projects/addressing-hospital-patient-information-needs-using-personal-health-record,Ongoing,Acute Respiratory Infections;Adults;Congestive Heart Failure (CHF);Coronary Artery Disease;Elderly;Inner City;Low-SES/Low Income;Racial/Ethnic Minorities,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Patient Portals;Personal Health Record (PHR),Addressing Hospital Patient Information Needs Using a Personal Health Record Portal (New York)
,Patient Education,Ambulatory;Family Medicine;Internal Medicine;Primary Care;Specialty Practice,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Nashville,Non-rural;Rural,,,"$1,553,906",Tennessee,Vanderbilt University,"Jackson, Gretchen P.",https://healthit.ahrq.gov/ahrq-funded-projects/personal-health-information-needs-and-practices-maternal-fetal-care,Ongoing,Women: Pregnancy,Internet Social Networking;Patient Portals;Personal Health Record (PHR),Personal Health Information Needs and Practices for Maternal Fetal Care (Tennessee)
,Chronic Disease Management,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Seattle,Non-rural;Rural,,,"$1,459,623",Washington,Group Health Cooperative,"Ralston, James D.",https://healthit.ahrq.gov/ahrq-funded-projects/patient-reminders-and-notifications,Ongoing,Asthma;Chronic Care;Diabetes;Women,Consumer Informatics,Patient Reminders and Notifications (Washington)
,Care Coordination;Primary Care;Specialty Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care;Specialty Practice,Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Houston,Non-rural,,,"$1,992,585",Texas,Baylor College of Medicine,"Singh, Hardeep",https://healthit.ahrq.gov/ahrq-funded-projects/decision-making-and-clinical-work-test-result-follow-health-information,Ongoing,General,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),Decision Making and Clinical Work of Test Result Follow-up in Health Information Technology Settings (Texas)
,Protected Health Information Data Sharing,,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),New York,Non-rural;Rural,,,"$100,000",New York,Weill Medical College of Cornell University,"Vest, Joshua Ryan",https://healthit.ahrq.gov/ahrq-funded-projects/how-do-you-define-regional-geography-health-information-exchange,Ongoing,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),How Do You Define Regional? The Geography of Health Information Exchange (New York)
,Prevention,Ambulatory,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),New York,Non-rural,,,"$145,883",New York,Trustees of Columbia University in the City of New York,"Stockwell, Melissa S.",https://healthit.ahrq.gov/ahrq-funded-projects/devise-data-exchange-vaccine-information-between-immunization-information,Ongoing,Low-SES/Low Income;Medically Underserved;Pediatric;Racial/Ethnic Minorities;Teenagers,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Other: Vaccine Registry,DEVISE: Data Exchange of Vaccine Information between an Immunization Information System and Electronic Health Record (New York)
,Care Coordination;Primary Care,Ambulatory;Community Health Center;Family Medicine;Federally Qualified Health Center (FQHC);Internal Medicine;Primary Care,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Ann Arbor,Non-rural;Rural,,,"$494,370",Michigan,University of Michigan at Ann Arbor,"Adler-Milstein, Julia Rose",https://healthit.ahrq.gov/ahrq-funded-projects/assessing-readiness-achievement-impact-stage-3-care-coordination-criteria,Ongoing,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),"Assessing Readiness, Achievement & Impact of Stage 3 Care Coordination Criteria (Michigan)"
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Charleston,Non-rural;Rural,,,"$487,155",South Carolina,Medical University of South Carolina,"Ornstein, Steven",https://healthit.ahrq.gov/ahrq-funded-projects/learning-primary-care-meaningful-use-exemplars,Ongoing,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Learning from Primary Care Meaningful Use Exemplars (South Carolina)
,Specialty Care,Ambulatory;Mental Health Provider,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Knoxville,Non-rural;Rural,,,"$298,125",Tennessee,"University of Tennessee, Knoxville","Beebe, Lora",https://healthit.ahrq.gov/ahrq-funded-projects/long-term-effectiveness-telephone-intervention-problem-solving-tips,Ongoing,Adults;Mental Health/Depression,Mobile Phone,The Long Term Effectiveness of Telephone Intervention Problem Solving (TIPS) (Tennessee)
,Acute Care;Care Coordination;Improving Care Across Transitions of Care,Academic Medical Center;Ambulatory;Inpatient,AHRQ Grants for Health Services Research Dissertation (R36),New Haven,Non-rural;Rural,,,"$39,853",Connecticut,Yale University,"Yuan, Christina",https://healthit.ahrq.gov/ahrq-funded-projects/understanding-how-social-influence-and-social-networks-affect-electronic,Ongoing,,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Understanding How Social Influence and Social Networks Affect Electronic Medical Record Implementation (Connecticut)
,Acute Care;Prevention,Inpatient,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Iowa City,Non-rural;Rural,,,"$361,288",Iowa,University of Iowa,"Weckmann, Michelle",https://healthit.ahrq.gov/ahrq-funded-projects/using-electronic-medical-record-identify-and-screen-patients-risk-delirium,Ongoing,Adults;Elderly;Other Conditions: Delirium,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),Using the Electronic Medical Record to Identify and Screen Patients at Risk for Delirium (Iowa)
,Chronic Disease Management;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Detroit,Non-rural,,,"$342,092",Michigan,Wayne State University,"Neale, Anne Victoria",https://healthit.ahrq.gov/ahrq-funded-projects/impact-meaningful-use-patient-engagement-objectives-multicultural-pbrn,Ongoing,Adults;Chronic Care;Low-SES/Low Income;Racial/Ethnic Minorities,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Patient Portals,Impact of Meaningful Use Patient Engagement Objectives in a Multicultural Practice-Based Research Network (Michigan)
,,,Inter-Agency Agreement,McLean,,13-717F-13,,"500,000",Virginia,The MITRE Corporation,,https://healthit.ahrq.gov/ahrq-funded-projects/robust-health-data-infrastructure,Closed,,,A Robust Health Data Infrastructure  (Virginia)
,Acute Care;Care Coordination;Care Planning;Chronic Disease Management;Improving Care Across Transitions of Care;Medication Management;Patient Education;Prevention;Primary Care;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement;Specialty Care,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient;Long-Term Care,Evidence-based Practice Centers (EPCs),Portland,Non-rural;Rural,290-12-00014I-11,,"$625,000",Oregon,Oregon Health and Science University,"Hersh, William",https://healthit.ahrq.gov/ahrq-funded-projects/topic-refinement-and-systematic-review-health-information-exchange,Ongoing,Adults;Pediatric,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Topic Refinement and Systematic Review for Health Information Exchange (Oregon)
,Care Coordination;Improving Care Across Transitions of Care,Inpatient,Accelerating Change and Transformation in Organizations and Networks (ACTION) II,Baltimore,Non-rural;Rural,290-10-00027I-5,,"$630,568",Maryland,Johns Hopkins University,"Kharrazi, Hadi",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-stage-3-meaningful-use-objectives-analysis-md-and-ar,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Evaluation of Stage 3 Meaningful Use Objectives: Analysis in Maryland and Arkansas (Maryland)
,Care Coordination;Patient Education;Protected Health Information Data Sharing,Ambulatory;Inpatient,Accelerating Change and Transformation in Organizations and Networks (ACTION) II,Falls Church,Non-rural;Rural,290-10-00033I-2,,"$672,837",Virginia,"The Lewin Group, Inc.","Jain, Anjali",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-stage-3-meaningful-use-objectives-analysis-ok-and-dc,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Evaluation of Stage 3 Meaningful Use Objectives: Analysis in Oklahoma and the District of Columbia (Virginia)
,Care Coordination;Protected Health Information Data Sharing,Ambulatory;Inpatient,Accelerating Change and Transformation in Organizations and Networks (ACTION) II,Cambridge,Non-rural;Rural,290-10-00031I-5,,"$355,717",Massachusetts,"Abt Associates, Inc.","Galantowictz, Sara",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-stage-3-meaningful-use-objectives-analysis-pa-and-ut,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Evaluation of Stage 3 Meaningful Use Objectives: Analysis in Pennsylvania and Utah (Massachusetts)
,Care Coordination,Ambulatory;Inpatient,Accelerating Change and Transformation in Organizations and Networks (ACTION) II,Research Triangle Park,Non-rural;Rural,290-10-00024I-5,,"$534,827",North Carolina,RTI International,"Wald, Jonathan S.",https://healthit.ahrq.gov/ahrq-funded-projects/evaluation-stage-3-meaningful-use-objectives-analysis-nc-and-tn,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Evaluation of Stage 3 Meaningful Use Objectives: Analysis in North Carolina and Tennessee (North Carolina)
,Chronic Disease Management;Medication Management;Primary Care;Specialty Care,Ambulatory;Home,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Philadelphia,Non-rural;Rural,,,"$487,886",Pennsylvania,The Children's Hospital of Philadelphia,"Fiks, Alexander",https://healthit.ahrq.gov/ahrq-funded-projects/pediatric-patient-engagement-criteria-meaningful-use-stage-3,Ongoing,Asthma;Children with Special Health Care Needs (CSHCN);Low-SES/Low Income;Pediatric,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Patient Portals,Pediatric Patient Engagement as a Criteria for Meaningful Use Stage 3 (Pennsylvania)
,Chronic Disease Management;Prevention,Ambulatory;Community Health Center;Federally Qualified Health Center (FQHC),Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Chicago,Non-rural,,,"$476,189",Illinois,Northwestern University,"Jean-Jacques, Muriel",https://healthit.ahrq.gov/ahrq-funded-projects/best-practices-integrating-clinical-decision-support-clinical-workflow,Ongoing,Asthma;Coronary Artery Disease;Low-SES/Low Income;Racial/Ethnic Minorities;Safety Net;Uninsured,Clinical Decision Support (CDS) System,Best Practices For Integrating Clinical Decision Support Into Clinical Workflow (Illinois)
,Care Coordination;Primary Care,Ambulatory;Family Medicine;Federally Qualified Health Center (FQHC);Internal Medicine;Primary Care;Specialty Practice,Policy Relevant Evaluations to Inform Development of Health IT Meaningful Use Objectives (R18),Washington,Non-rural;Rural,,,"$499,618",District of Columbia,National Committee for Quality Assurance,"Scholle, Sarah H.",https://healthit.ahrq.gov/ahrq-funded-projects/care-coordination-enabled-health-information-technology-what-will-it-take,Ongoing,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Care Coordination Enabled by Health Information Technology: What Will It Take? (District of Columbia)
,Chronic Disease Management,Academic Medical Center;Ambulatory,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Ann Arbor,Non-rural,,,"$1,487,776",Michigan,Regents of the University of Michigan,"Zikmund-Fisher, Brian",https://healthit.ahrq.gov/ahrq-funded-projects/systematic-design-meaningful-presentations-medical-test-data-patients,Ongoing,Adults;Chronic Care;Diabetes,Patient Portals,Systematic Design of Meaningful Presentations of Medical Test Data for Patients (Michigan)
,Chronic Disease Management,Academic Medical Center;Ambulatory Surgical Center;Ambulatory,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Hanover,Non-rural,,,"$295,634",New Hampshire,Dartmouth College,"Goodney, Philip",https://healthit.ahrq.gov/ahrq-funded-projects/leveraging-health-information-technology-avoid-unnecessary-asymptomatic-carotid-revascularization,Ongoing,Adults;Chronic Care;Medicare;Stroke,Clinical Decision Support (CDS) System;Disease Registries;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Mobile Phone,Leveraging Health Information Technology to Avoid Unnecessary Asymptomatic Carotid Revascularization (New Hampshire)
,Acute Care,Emergency Department (ED)/Emergency Room (ER),AHRQ Health Services Research Projects (R01),Salt Lake City,Non-rural,,,"$1,249,994",Utah,University of Utah,"Cummins, Mollie Rebecca",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-exchange-poisoning-information,Ongoing,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Electronic Exchange of Poisoning Information (Utah)
,Acute Care;Prevention,Academic Medical Center;Ambulatory Surgical Center;Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient;Specialty Practice,Understanding Clinical Information Needs and Health Care Decision Making Processes in the Context of Health IT (R01),Madison,Non-rural;Rural,,,"$2,496,571",Wisconsin,University of Wisconsin - Madison,"Carayon, Pascale",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-supported-process-preventing-and-managing-venous-thromboembolism,Ongoing,Adults,Clinical Decision Support (CDS) System,Health Information Technology-Supported Process for Preventing and Managing Venous Thromboembolism (Wisconsin)
,Care Coordination,Home,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Madison,Non-rural,,,"$2,268,915",Wisconsin,University of Wisconsin - Madison,"Brennan, Patricia Flatley",https://healthit.ahrq.gov/ahrq-funded-projects/vizhome-context-based-health-information-needs-assessment-strategy,Ongoing,Adults;Chronic Care;Diabetes,Consumer Informatics,vizHOME: A Context-Based Health Information Needs Assessment Strategy (Wisconsin)
,Care Coordination,Home;Long-Term Care,Understanding User Needs and Context to Inform Consumer Health Information Technology (IT) Design (R01),Seattle,Non-rural,,,"$2,440,430",Washington,University of Washington,"Turner, Anne M.",https://healthit.ahrq.gov/ahrq-funded-projects/addressing-personal-health-information-management-needs-older-adults,Ongoing,Adults;Elderly,Consumer Informatics,Addressing the Personal Health Information Management Needs of Older Adults (Washington)
,Care Coordination,Inpatient,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Baltimore,Non-rural,,,"$299,803",Maryland,Johns Hopkins University,"Kharrazi, Hadi",https://healthit.ahrq.gov/ahrq-funded-projects/community-health-information-exchange-based-hospital-readmission-risk,Ongoing,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),A Community Health Information Exchange-based Hospital Readmission Risk Prediction & Notification System (Maryland)
,Medication Management,Ambulatory,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Ann Arbor,Non-rural;Rural,,,"$299,883",Michigan,University of Michigan at Ann Arbor,"Farris, Karen",https://healthit.ahrq.gov/ahrq-funded-projects/improving-adherence-and-outcomes-artificial-intelligence-adapted-text-messages,Ongoing,Hypertension,Automated Extraction System/Algorithm;Short Message System (SMS),Improving Adherence and Outcomes by Artificial Intelligence-Adapted Text Messages (Michigan)
,Chronic Disease Management,Home,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Charlottesville,Non-rural;Rural,,,"$99,963",Virginia,University of Virginia,"Valdez, Rupa Sheth",https://healthit.ahrq.gov/ahrq-funded-projects/informing-consumer-health-information-technology-design-how-patients-use-social,Ongoing,Chronic Care;Diabetes,Consumer Informatics;Internet Social Networking,Informing Consumer Health Information Technology Design: How Patients Use Social Networking Sites (Virginia)
,Primary Care,Home,AHRQ Grants for Health Services Research Dissertation (R36),Baltimore,Non-rural,,,"$40,884",Maryland,Morgan State University,"Jackman, Kevon-Mark Phillip",https://healthit.ahrq.gov/ahrq-funded-projects/use-electronic-personal-health-records-health-risk-reduction-discussion-tool,Ongoing,Adults;Racial/Ethnic Minorities,Personal Health Record (PHR),Use of Electronic Personal Health Records as a Health Risk-Reduction Discussion Tool (Maryland)
,,,Inter-Agency Agreement,Mclean,,14-721F-14,,"$458,340",Virginia,The MITRE Corporation,,https://healthit.ahrq.gov/ahrq-funded-projects/data-individual-health,Closed,,,Data for Individual Health  (Virginia)
